Potential (V)	 Current (A)	 Elapsed Time (s)
0.94865568	 -3.4136963e-006	 72.565
0.94635714	 -3.4820557e-006	 72.68
0.9440586	 -3.5467529e-006	 72.795
0.94176006	 -3.6016846e-006	 72.91
0.93946151	 -3.6828613e-006	 73.025
0.93716297	 -3.7536621e-006	 73.14
0.93486443	 -3.8031006e-006	 73.255
0.93254834	 -3.8659668e-006	 73.37
0.9302498	 -3.9251709e-006	 73.485
0.92795126	 -3.9953613e-006	 73.6
0.92565272	 -4.0618896e-006	 73.715
0.92335418	 -4.1418457e-006	 73.83
0.92105564	 -4.2114258e-006	 73.945
0.9187571	 -4.2913818e-006	 74.06
0.91645855	 -4.3768311e-006	 74.175
0.91416001	 -4.4476318e-006	 74.29
0.91186147	 -4.5025635e-006	 74.405
0.90956293	 -4.5568848e-006	 74.52
0.90726439	 -4.6337891e-006	 74.635
0.90496585	 -4.7045898e-006	 74.75
0.90266731	 -4.7875977e-006	 74.865
0.90035122	 -4.8809814e-006	 74.98
